agents,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN,solveIndModel,solveConicGibbsGreedyDynamic
"[(0, 0.3660001282278419, 0.5190904650007985), (1, 0.9286500900312306, 0.8609837361828645), (2, 0.8128101201399267, 0.8020265477729038)]",1.4920160602371142,1.451447918772347,1.451447918772347,1.451447918772347,1.4920160602371142,1.6414350955244894,1.4243499152648305,1.183337231759466,1.3500953182208353
"[(0, 0.06280476967317683, 0.8138794499154473), (1, 0.33462782633747357, 0.6997458815482421), (2, 0.17724994400990524, 0.508993494396747)]",0.333599351840856,0.333599351840856,0.333599351840856,0.3243735117143169,0.333599351840856,0.3754890231079884,0.2777219108690261,0.2756212916735549,0.29968564854326496
"[(0, 0.4757707128124361, 0.8728120866475297), (1, 0.07157408355929473, 0.6011048218318922), (2, 0.22199018705054707, 0.6821441047843649)]",0.5730432527504016,0.5666877260321141,0.5666877260321141,0.5666877260321141,0.5730432527504016,0.6097112527778049,0.5474277496732777,0.4681198894865936,0.4361448913738268
"[(0, 0.0679317846900177, 0.20532555793315155), (1, 0.5872615400811948, 0.8891046425794266), (2, 0.5989086120234121, 0.011963892754093042)]",0.5360850932874068,0.5360850932874068,0.5360850932874068,0.5360850932874068,0.5360850932874068,0.5432503716911576,0.5293022400982851,0.0029207145043298,0.5301060716711613
"[(0, 0.5442530178968442, 0.5343963429207341), (1, 0.4418250425375121, 0.0802549424968877), (2, 0.7971933381221404, 0.8706178752936391)]",0.984897592621788,0.984897592621788,0.984897592621788,0.984897592621788,0.984897592621788,1.020356236004321,0.984897592621788,0.3501040005358399,0.9401373882854547
"[(0, 0.7158192396042324, 0.7375907292736678), (1, 0.7850239932815625, 0.9008778166186154), (2, 0.3391735410615051, 0.8506641967794119)]",1.4150678868622175,1.4150678868622173,1.3895042371258004,1.2351923360285286,1.4150678868622175,1.5237151239044429,1.4150678868622173,1.2756852094598576,1.0708683691756367
"[(0, 0.6200604579308355, 0.06815691541111513), (1, 0.7924068264769029, 0.5270179567309071), (2, 0.6421792147489039, 0.8370791012786418)]",0.9551674265313164,0.9551674265313164,0.9551674265313164,0.9551674265313164,0.9551674265313164,0.9974288347122856,0.9551674265313164,0.070724596646042,0.6851726120661147
"[(0, 0.8542048113048888, 0.11997316371565037), (1, 0.7493475694923375, 0.2549288717888645), (2, 0.45906284141358045, 0.7668195739805864)]",0.5430487029514887,0.5430487029514887,0.5430487029514885,0.5430487029514885,0.5430487029514887,0.6455303566248662,0.5430487029514887,0.333284896190916,0.5270305413766381
"[(0, 0.9058277646526788, 0.831724045967229), (1, 0.5345548089478402, 0.18568573639358066), (2, 0.7596870925560701, 0.6460836195587186)]",1.2442201198570422,1.2442201198570422,1.244220119857042,1.244220119857042,1.2442201198570422,1.3434793231992517,1.2442201198570422,0.862082916837514,0.8908444152443641
"[(0, 0.1321180627439782, 0.9079778192069808), (1, 0.8641914902758441, 0.4705247938003272), (2, 0.8110175263824481, 0.2569692042287648)]",0.6340559493451052,0.6340559493451052,0.6340559493451052,0.6150300511361179,0.6340559493451052,0.7349903216242463,0.5681999505064826,0.1385993781018995,0.525482647622155
