agents,solveIndModel,solveNN,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.4453125,0.375,0.9375,0.9375,0.9375,0.9375,0.9375,1.1875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.37109375,0.0,0.75,0.75,0.75,0.75,0.75,1.0
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.46484375,0.46875,0.9375,0.9375,0.9375,0.9375,0.9375,1.1875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.55859375,0.5625,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.365234375,0.0,0.59375,0.59375,0.59375,0.5625,0.59375,0.8125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.458984375,0.515625,0.7734375,0.75,0.75,0.75,0.7734375,1.0
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.552734375,0.703125,0.9609375,0.9375,0.9375,0.9375,0.9609375,1.1875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.5,0.75,0.9609375,0.9375,0.9375,0.9375,0.9609375,1.1875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.59375,0.84375,1.1484375,1.125,1.125,1.125,1.1484375,1.375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.634765625,0.984375,1.3359375,1.3125,1.3125,1.3125,1.3359375,1.5625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.484375,0.0,0.75,0.75,0.75,0.75,0.75,1.0625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.546875,0.0,0.875,0.875,0.875,0.875,0.875,1.1875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.484375,0.0,0.71875,0.71875,0.71875,0.6875,0.71875,1.0
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.5625,0.375,0.8828125,0.875,0.875,0.875,0.8828125,1.1875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.65625,0.5625,1.0703125,1.0625,1.0625,1.0625,1.0703125,1.375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.5703125,0.0,1.0,1.0,1.0,1.0,1.0,1.3125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.49609375,0.0,0.84375,0.84375,0.84375,0.8125,0.84375,1.125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.58984375,0.375,1.0078125,1.0,1.0,1.0,1.0078125,1.3125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.68359375,0.5625,1.1953125,1.1875,1.1875,1.1875,1.1953125,1.5
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.490234375,0.0,0.71875,0.71875,0.71875,0.625,0.71875,0.9375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.583984375,0.375,0.87890625,0.859375,0.859375,0.8125,0.87890625,1.125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.677734375,0.5625,1.06640625,1.03125,1.03125,1.0,1.06640625,1.3125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.6015625,0.65625,1.04296875,1.0,1.0,1.0,1.04296875,1.3125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.71875,0.84375,1.23046875,1.1875,1.1875,1.1875,1.23046875,1.5
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.759765625,0.984375,1.41796875,1.375,1.375,1.375,1.41796875,1.6875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.6953125,0.0,1.125,1.125,1.125,1.125,1.125,1.4375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.62109375,0.0,0.9375,0.9375,0.9375,0.9375,0.9375,1.25
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.71484375,0.375,1.125,1.125,1.125,1.125,1.125,1.4375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.80859375,0.5625,1.3125,1.3125,1.3125,1.3125,1.3125,1.625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.615234375,0.0,0.84375,0.84375,0.84375,0.75,0.84375,1.0625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.708984375,0.375,0.99609375,0.984375,0.984375,0.9375,0.99609375,1.25
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.802734375,0.5625,1.18359375,1.125,1.125,1.125,1.18359375,1.4375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.7265625,0.65625,1.16015625,1.125,1.125,1.125,1.16015625,1.4375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.84375,0.84375,1.34765625,1.3125,1.3125,1.3125,1.34765625,1.625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.884765625,0.84375,1.51171875,1.5,1.5,1.5,1.51171875,1.8125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.521484375,0.234375,0.662109375,0.65625,0.65625,0.5625,0.662109375,0.875
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.626953125,0.55078125,0.849609375,0.84375,0.84375,0.75,0.849609375,1.0625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.697265625,0.5625,1.037109375,1.03125,1.03125,0.9375,1.037109375,1.25
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.744140625,0.65625,1.0078125,0.984375,0.984375,0.9375,1.0078125,1.25
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.849609375,0.84375,1.1953125,1.171875,1.171875,1.125,1.1953125,1.4375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.001953125,0.84375,1.37109375,1.3125,1.3125,1.3125,1.37109375,1.625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.80859375,0.9660050675675675,1.18359375,1.125,1.125,1.125,1.18359375,1.4375
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.9609375,1.0970378861003862,1.37109375,1.3125,1.3125,1.3125,1.37109375,1.625
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.9990234375,1.1230996621621623,1.546875,1.5,1.5,1.5,1.546875,1.8125
"[(0, 0.5, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.1630859375,1.2285684121621623,1.72265625,1.6875,1.6875,1.6875,1.72265625,2.0
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.25, 0.5)]",0.2734375,0.0,0.375,0.375,0.375,0.375,0.375,0.625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.5, 0.5)]",0.3359375,0.0,0.5,0.5,0.5,0.5,0.5,0.75
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.75, 0.5)]",0.3984375,0.0,0.625,0.625,0.625,0.625,0.625,0.875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.25, 0.75)]",0.31640625,0.1875,0.453125,0.453125,0.4375,0.4375,0.453125,0.6875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.5, 0.75)]",0.41015625,0.375,0.640625,0.625,0.625,0.625,0.640625,0.875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.5), (4, 0.75, 0.75)]",0.50390625,0.5625,0.828125,0.8125,0.8125,0.8125,0.828125,1.0625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.375,0.0,0.625,0.625,0.625,0.625,0.625,0.875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.4375,0.0,0.75,0.75,0.75,0.75,0.75,1.0
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.359375,0.0,0.578125,0.578125,0.5625,0.5625,0.578125,0.8125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.453125,0.375,0.765625,0.75,0.75,0.75,0.765625,1.0
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.546875,0.5625,0.953125,0.9375,0.9375,0.9375,0.953125,1.1875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.4765625,0.0,0.875,0.875,0.875,0.875,0.875,1.125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.40234375,0.0,0.703125,0.703125,0.6875,0.6875,0.703125,0.9375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.49609375,0.375,0.890625,0.875,0.875,0.875,0.890625,1.125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.58984375,0.5625,1.078125,1.0625,1.0625,1.0625,1.078125,1.3125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.333984375,0.375,0.5390625,0.53125,0.53125,0.5,0.5390625,0.75
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.458984375,0.515625,0.7265625,0.703125,0.6875,0.6875,0.7265625,0.9375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.552734375,0.703125,0.9140625,0.890625,0.875,0.875,0.9140625,1.125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.5234375,0.65625,0.9140625,0.875,0.875,0.875,0.9140625,1.125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.6171875,0.84375,1.1015625,1.0625,1.0625,1.0625,1.1015625,1.3125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.681640625,0.984375,1.2890625,1.25,1.25,1.25,1.2890625,1.5
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.5,0.0,0.75,0.75,0.75,0.75,0.75,1.0
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.5625,0.0,0.875,0.875,0.875,0.875,0.875,1.125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.484375,0.1875,0.6875,0.6875,0.6875,0.6875,0.6875,0.9375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.578125,0.375,0.875,0.875,0.875,0.875,0.875,1.125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.671875,0.5625,1.0625,1.0625,1.0625,1.0625,1.0625,1.3125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.6015625,0.0,1.0,1.0,1.0,1.0,1.0,1.25
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.52734375,0.0,0.8125,0.8125,0.8125,0.8125,0.8125,1.0625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.62109375,0.375,1.0,1.0,1.0,1.0,1.0,1.25
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.71484375,0.5625,1.1875,1.1875,1.1875,1.1875,1.1875,1.4375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.458984375,0.0,0.65625,0.65625,0.65625,0.625,0.65625,0.875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.583984375,0.375,0.84375,0.8125,0.8125,0.8125,0.84375,1.0625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.677734375,0.5625,1.03125,1.0,1.0,1.0,1.03125,1.25
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.6484375,0.65625,1.0078125,1.0,1.0,1.0,1.0078125,1.25
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.7421875,0.84375,1.1953125,1.1875,1.1875,1.1875,1.1953125,1.4375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.806640625,0.984375,1.3828125,1.375,1.375,1.375,1.3828125,1.625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.7265625,0.75,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.65234375,0.375,0.9375,0.9375,0.9375,0.9375,0.9375,1.1875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.74609375,0.65625,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.83984375,0.84375,1.3125,1.3125,1.3125,1.3125,1.3125,1.5625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.583984375,0.4921875,0.78125,0.78125,0.78125,0.75,0.78125,1.0
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.677734375,0.375,0.9609375,0.9375,0.9375,0.9375,0.9609375,1.1875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.802734375,0.5625,1.1484375,1.125,1.125,1.125,1.1484375,1.375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.7734375,0.65625,1.125,1.125,1.125,1.125,1.125,1.375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.8671875,0.84375,1.3125,1.3125,1.3125,1.3125,1.3125,1.5625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.931640625,0.984375,1.5,1.5,1.5,1.5,1.5,1.75
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.4541015625,0.234375,0.6181640625,0.59375,0.59375,0.5625,0.6181640625,0.8125
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.5947265625,0.515625,0.8056640625,0.78125,0.78125,0.75,0.8056640625,1.0
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.697265625,0.703125,0.9931640625,0.96875,0.96875,0.9375,0.9931640625,1.1875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.64453125,0.7975536920849421,0.9814453125,0.9375,0.9375,0.9375,0.9814453125,1.1875
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.78515625,0.84375,1.1689453125,1.125,1.125,1.125,1.1689453125,1.375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.8349609375,0.984375,1.3447265625,1.3125,1.3125,1.3125,1.3447265625,1.5625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.83203125,0.9660050675675675,1.1572265625,1.125,1.125,1.125,1.1572265625,1.375
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.97265625,0.984375,1.3447265625,1.3125,1.3125,1.3125,1.3447265625,1.5625
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.0224609375,1.2490649131274132,1.5205078125,1.5,1.5,1.5,1.5205078125,1.75
"[(0, 0.5, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.75), (3, 0.75, 0.75), (4, 0.75, 0.75)]",1.2099609375,1.3359375,1.6962890625,1.6875,1.6875,1.6875,1.6962890625,1.9375
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.53125,0.0,0.75,0.75,0.75,0.75,0.75,1.125
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.59375,0.0,0.875,0.875,0.875,0.875,0.875,1.25
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.515625,0.0,0.78125,0.78125,0.78125,0.75,0.78125,1.0625
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.609375,0.375,0.90625,0.90625,0.875,0.875,0.90625,1.25
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.703125,0.5625,1.09375,1.0625,1.0625,1.0625,1.09375,1.4375
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.6328125,0.0,1.0,1.0,1.0,1.0,1.0,1.375
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.55859375,0.0,0.90625,0.90625,0.90625,0.875,0.90625,1.1875
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.65234375,0.375,1.03125,1.03125,1.0,1.0,1.03125,1.375
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.74609375,0.5625,1.21875,1.1875,1.1875,1.1875,1.21875,1.5625
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.521484375,0.0,0.78125,0.78125,0.78125,0.6875,0.78125,1.0
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.630859375,0.375,0.921875,0.921875,0.921875,0.875,0.921875,1.1875
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.724609375,0.5625,1.1015625,1.09375,1.09375,1.0625,1.1015625,1.375
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.6953125,0.65625,1.078125,1.0625,1.0625,1.0,1.078125,1.375
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.7890625,0.84375,1.265625,1.21875,1.203125,1.1875,1.265625,1.5625
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.853515625,1.125,1.453125,1.375,1.375,1.375,1.453125,1.75
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.7578125,0.0,1.125,1.125,1.125,1.125,1.125,1.5
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.65234375,0.0,1.03125,1.03125,1.03125,1.0,1.03125,1.3125
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.77734375,0.375,1.125,1.125,1.125,1.125,1.125,1.5
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.87109375,0.5625,1.3125,1.3125,1.3125,1.3125,1.3125,1.6875
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.646484375,0.0,0.90625,0.90625,0.90625,0.8125,0.90625,1.125
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.740234375,0.375,1.046875,1.046875,1.046875,1.0,1.046875,1.3125
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.25, 0.75), (4, 0.75, 0.75)]",0.849609375,0.5625,1.21875,1.21875,1.21875,1.1875,1.21875,1.5
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.5, 0.75)]",0.7578125,0.65625,1.1953125,1.1875,1.1875,1.125,1.1953125,1.5
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.5, 0.75), (4, 0.75, 0.75)]",0.9140625,0.84375,1.3828125,1.3359375,1.328125,1.3125,1.3828125,1.6875
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5), (3, 0.75, 0.75), (4, 0.75, 0.75)]",0.978515625,0.84375,1.546875,1.5,1.5,1.5,1.546875,1.875
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.25, 0.75)]",0.4697265625,0.234375,0.7245038006756757,0.71875,0.71875,0.625,0.7245038006756757,0.9375
"[(0, 0.5, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75), (3, 0.25, 0.75), (4, 0.5, 0.75)]",0.6103515625,0.375,0.90625,0.90625,0.90625,0.8125,0.90625,1.125
