agents,solveIndModel,solveNN,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.5), (4, 0.5, 0.75)]",0.27734375,0.0,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.25, 0.5), (4, 0.75, 0.75)]",0.32421875,0.5625,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.5), (4, 0.5, 0.5)]",0.26953125,0.25,0.625,0.625,0.625,0.625,0.625,0.75
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.5), (4, 0.75, 0.5)]",0.30078125,0.375,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.5), (4, 0.25, 0.75)]",0.259765625,0.0,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.5), (4, 0.5, 0.75)]",0.306640625,0.0,0.75,0.75,0.75,0.75,0.75,0.875
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.5, 0.5), (4, 0.75, 0.75)]",0.353515625,0.5625,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.5), (4, 0.75, 0.5)]",0.328125,0.375,0.875,0.875,0.875,0.875,0.875,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.5), (4, 0.25, 0.75)]",0.2890625,0.0,0.6875,0.6875,0.6875,0.6875,0.6875,0.8125
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.5), (4, 0.5, 0.75)]",0.3359375,0.46875,0.875,0.875,0.875,0.875,0.875,1.0
"[(0, 0.25, 0.25), (1, 0.25, 0.25), (2, 0.5, 0.25), (3, 0.75, 0.5), (4, 0.75, 0.75)]",0.3828125,0.65625,1.0625,1.0625,1.0625,1.0625,1.0625,1.1875
