agents,solveIndModel,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN
"[(0, 0.5, 0.25), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.59375,0.7734375,0.75,0.75,0.75,0.7734375,0.875,0.7734375
"[(0, 0.5, 0.25), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.6796875,0.75,0.75,0.75,0.75,0.75,0.875,0.65625
"[(0, 0.5, 0.25), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.8320312499999999,0.9375,0.9375,0.9375,0.9375,0.9375,1.0625,0.9375
"[(0, 0.5, 0.25), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.8984375,1.125,1.125,1.125,1.125,1.125,1.25,1.125
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.25)]",0.3046875,0.375,0.375,0.375,0.375,0.375,0.5625,0.1875
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.5)]",0.328125,0.375,0.375,0.375,0.375,0.375,0.5,0.375
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.5)]",0.3515625,0.4375,0.4375,0.4375,0.4375,0.4375,0.625,0.25
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.5)]",0.375,0.5625,0.5625,0.5625,0.5625,0.5625,0.75,0.375
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.25, 0.75)]",0.375,0.375,0.375,0.375,0.375,0.375,0.5625,0.375
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.5, 0.75)]",0.41015625,0.5625,0.5625,0.5625,0.5625,0.5625,0.75,0.375
"[(0, 0.75, 0.25), (1, 0.75, 0.25), (2, 0.75, 0.75)]",0.4453125,0.75,0.75,0.75,0.75,0.75,0.9375,0.75
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.5)]",0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.4375,0.3125
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.5)]",0.359375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5625,0.4375
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.5)]",0.40625,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.25, 0.75)]",0.359375,0.375,0.375,0.375,0.375,0.375,0.5,0.375
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.5, 0.75)]",0.4296875,0.5625,0.5625,0.5625,0.5625,0.5625,0.6875,0.5625
"[(0, 0.75, 0.25), (1, 0.25, 0.5), (2, 0.75, 0.75)]",0.5,0.75,0.75,0.75,0.75,0.75,0.875,0.5625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.5)]",0.25,0.5,0.5,0.5,0.5,0.5,0.6875,0.5
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.5)]",0.484375,0.625,0.625,0.625,0.625,0.625,0.8125,0.625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.25, 0.75)]",0.4609375,0.46875,0.46875,0.46875,0.4375,0.46875,0.625,0.34375
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.5, 0.75)]",0.53125,0.6328125,0.625,0.625,0.625,0.6328125,0.8125,0.625
"[(0, 0.75, 0.25), (1, 0.5, 0.5), (2, 0.75, 0.75)]",0.6015625,0.8203125,0.8125,0.8125,0.8125,0.8203125,1.0,0.8125
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.5)]",0.28125,0.75,0.75,0.75,0.75,0.75,0.9375,0.75
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.25, 0.75)]",0.28125,0.5625,0.5625,0.5625,0.5625,0.5625,0.75,0.46875
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.28125,0.75,0.75,0.75,0.75,0.75,0.9375,0.75
"[(0, 0.75, 0.25), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.703125,0.9375,0.9375,0.9375,0.9375,0.9375,1.125,0.9375
"[(0, 0.75, 0.25), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.4453125,0.46875,0.46875,0.46875,0.375,0.46875,0.5625,0.0
